"gender","speaker_points"
"Female","26.0"
"Female","28.5"
"Female","28.5"
"Female","26.0"
"Female","30.0"
"Female","28.0"
"Female","27.0"
"Female","26.0"
"Female","29.0"
"Female","29.0"
"Female","28.0"
"Female","28.0"
"Female","28.0"
"Female","28.5"
"Female","27.0"
"Female","30.0"
"Female","25.0"
"Male","30.0"
"Male","28.6"
"Male","27.0"
"Male","28.5"
"Male","28.0"
"Male","27.7"
"Male","25.0"
"Male","27.9"
"Male","26.0"
"Male","27.0"
"Female","30.0"
"Female","28.0"
"Female","29.0"
"Female","27.0"
"Female","26.0"
"Female","26.5"
"Female","27.0"
"Female","27.0"
"Female","28.1"
"Female","27.5"
"Female","27.5"
"Female","24.0"
"Female","28.9"
"Female","28.0"
"Female","30.0"
"Female","25.0"
"Female","28.6"
"Male","23.0"
"Male","26.0"
"Male","29.0"
"Male","27.0"
"Male","24.3"
"Male","25.0"
"Male","20.0"
"Male","27.0"
"Male","20.0"
"Male","26.0"
"Male","26.0"
"Female","27.0"
"Female","28.0"
"Female","29.0"
"Female","30.0"
"Female","25.8"
"Female","29.1"
"Male","30.0"
"Male","29.0"
"Male","28.0"
"Male","27.0"
"Male","28.5"
"Male","27.0"
"Female","30.0"
"Female","28.4"
"Female","27.0"
"Female","27.0"
"Female","29.2"
"Female","28.0"
"Male","30.0"
"Male","29.0"
"Male","28.0"
"Male","27.0"
"Male","28.4"
"Male","27.0"
"Female","28.5"
"Female","27.8"
"Female","27.0"
"Female","28.0"
"Female","25.0"
"Female","28.0"
"Female","29.0"
"Female","30.0"
"Female","30.0"
"Female","23.5"
"Female","25.8"
"Female","26.0"
"Female","29.0"
"Female","28.0"
"Female","28.0"
"Female","29.0"
"Female","26.0"
"Male","29.5"
"Male","29.0"
"Male","29.0"
"Male","26.0"
"Male","26.0"
"Male","26.2"
"Male","28.0"
"Male","29.0"
"Male","30.0"
"Male","30.0"
"Male","29.0"
"Male","27.8"
"Female","30.0"
"Female","28.7"
"Female","28.0"
"Female","29.0"
"Female","28.9"
"Female","30.0"
"Female","28.0"
"Female","29.0"
"Female","27.0"
"Female","27.0"
"Female","28.7"
"Female","28.9"
"Male","29.0"
"Male","29.0"
"Male","29.0"
"Male","28.0"
"Male","27.5"
"Male","29.4"
"Female","29.0"
"Female","30.0"
"Female","28.0"
"Female","29.0"
"Female","25.0"
"Female","27.0"
"Female","27.0"
"Female","27.1"
"Female","28.4"
"Female","27.2"
"Female","28.3"
"Male","26.0"
"Male","27.0"
"Male","28.5"
"Male","30.0"
"Male","27.0"
"Male","28.0"
"Male","26.0"
"Male","28.0"
"Male","27.0"
"Male","24.0"
"Male","25.0"
"Male","29.0"
"Male","28.5"
"Male","29.0"
"Male","29.0"
"Male","26.0"
"Male","27.5"
"Male","26.0"
"Male","28.5"
"Male","28.0"
"Male","26.0"
"Male","29.0"
"Male","28.0"
"Male","23.0"
"Male","28.0"
"Male","28.0"
"Male","27.0"
"Male","23.0"
"Male","28.0"
"Male","28.2"
"Male","27.5"
"Male","27.0"
"Male","27.6"
"Male","20.0"
"Male","29.0"
"Male","20.0"
"Male","27.0"
"Male","26.0"
"Female","25.0"
"Female","28.0"
"Female","26.0"
"Female","27.0"
"Female","27.0"
"Female","28.9"
"Male","24.0"
"Male","29.0"
"Male","29.0"
"Male","30.0"
"Male","26.7"
"Female","30.0"
"Female","27.0"
"Female","29.0"
"Female","28.0"
"Female","26.0"
"Female","30.0"
"Male","29.0"
"Male","29.0"
"Male","30.0"
"Male","27.0"
"Male","27.0"
"Male","20.0"
"Male","20.0"
"Male","22.0"
"Male","20.0"
"Male","30.0"
"Male","20.0"
"Male","30.0"
"Male","28.3"
"Male","27.5"
"Male","27.8"
"Male","27.8"
"Female","24.0"
"Female","29.0"
"Female","28.0"
"Female","29.0"
"Female","27.0"
"Female","24.0"
"Female","20.0"
"Female","20.0"
"Female","20.0"
"Female","20.0"
"Female","20.0"
"Female","20.0"
"Male","29.0"
"Male","28.7"
"Male","27.0"
"Male","28.0"
"Male","27.0"
"Male","26.0"
"Male","28.0"
"Male","28.8"
"Male","28.0"
"Male","29.0"
"Male","27.0"
"Male","28.5"
"Male","28.0"
"Male","26.0"
"Male","28.0"
"Male","26.0"
"Male","26.5"
"Male","27.3"
"Male","29.1"
"Male","28.6"
"Male","29.0"
"Male","29.0"
"Male","28.9"
"Male","30.0"
"Male","28.8"
"Male","30.0"
"Male","29.0"
"Male","28.0"
"Male","27.0"
"Male","28.0"
"Male","29.0"
"Male","29.3"
"Male","29.0"
"Male","28.5"
"Male","28.0"
"Male","28.6"
"Male","28.0"
"Male","28.6"
"Male","27.0"
"Male","28.0"
"Male","27.5"
"Male","26.0"
"Male","29.0"
"Male","28.8"
"Male","30.0"
"Male","30.0"
"Male","28.0"
"Male","27.0"
"Female","27.0"
"Female","27.0"
"Female","28.2"
"Female","30.0"
"Female","28.0"
"Female","27.0"
"Male","29.0"
"Male","29.0"
"Male","29.8"
"Male","29.5"
"Male","29.1"
"Male","29.5"
"Male","26.0"
"Male","28.5"
"Male","29.0"
"Male","30.0"
"Male","27.0"
"Male","26.0"
"Female","27.9"
"Female","28.7"
"Female","27.0"
"Female","29.0"
"Female","28.6"
"Female","29.0"
