first_name,male_count,female_count
Aaron,682,0
Ab,5,0
Abba,0,6
Abbie,0,97
Abbott,10,0
Abby,5,15
Abdon,6,0
Abe,174,0
Abel,110,0
Abelardo,20,0
Abelina,0,7
Abelino,11,0
Abert,5,0
Abie,13,0
Abigail,0,31
Abner,75,0
Abraham,554,0
Abram,47,0
Abran,6,0
Abron,6,0
Abundio,5,0
Ac,7,0
Ace,20,0
Acel,5,0
Acey,12,0
Achille,21,0
Achilles,8,0
Acie,40,0
Acy,5,0
Ad,6,0
Ada,7,1583
Adabelle,0,7
Adah,0,29
Adair,6,14
Adalaide,0,5
Adalberto,9,0
Adalee,0,5
Adalene,0,13
Adaline,0,67
Adalyne,0,5
Adam,465,0
Adamae,0,7
Adams,7,0
Adan,30,0
Adda,0,21
Addie,13,763
Addis,7,7
Addison,58,0
Adean,0,9
Adel,0,15
Adela,0,130
Adelaida,0,18
Adelaide,0,330
Adelaido,6,0
Adelard,19,0
Adelbert,68,0
Adele,0,812
Adelene,0,33
Adelfa,0,11
Adelia,0,71
Adelina,0,92
Adeline,0,1142
Adelino,6,0
Adelita,0,6
Adell,28,174
Adella,0,117
Adelle,0,80
Adelma,0,7
Adelyn,0,11
Adelyne,0,7
Aden,16,0
Adena,0,5
Adene,0,5
Ader,0,7
Adger,8,0
Adie,0,8
Adin,6,0
Adina,0,5
Adine,0,6
Adis,6,0
Adlai,5,0
Adlene,0,5
Adline,0,30
Adlyn,0,5
Admiral,8,0
Adna,0,7
Adolf,42,0
Adolfo,71,0
Adolph,452,0
Adolphe,18,0
Adolpho,9,0
Adolphus,70,0
Adra,0,10
Adrain,40,0
Adren,6,0
Adria,0,8
Adrian,333,16
Adriana,0,20
Adrianna,0,9
Adrianne,0,8
Adrien,37,0
Adrienne,0,137
Adrin,8,0
Adrion,5,0
Adron,22,0
Aetna,0,5
Afton,12,57
Agapita,0,7
Agapito,32,0
Agatha,0,180
Agda,0,6
Aggie,0,34
Agnes,15,4240
Agness,0,18
Agnew,5,0
Agostino,13,0
Agripina,0,11
Agusta,0,5
Agustin,69,0
Agustina,0,21
Agustine,5,0
Aida,0,70
Aiko,0,41
Aileen,0,521
Aileene,0,14
Ailene,0,51
Aili,0,7
Ailleen,0,5
Aime,15,0
Aimee,0,32
Aina,0,9
Aino,0,5
Akiko,0,17
Akira,35,0
Al,151,5
Ala,0,6
Alaine,0,7
Alamae,0,5
Alameda,0,5
Alan,625,0
Alanson,7,0
Alba,0,50
Alban,19,0
Albena,0,16
Albert,9880,48
Alberta,13,1817
Alberteen,0,6
Albertha,0,131
Albertia,0,5
Albertina,0,23
Albertine,0,59
Alberto,182,5
Albertus,19,0
Albin,132,0
Albina,0,132
Albino,31,0
Albion,10,0
Albirda,0,6
Albirdia,0,6
Albirta,0,10
Albirtha,0,5
Alcario,6,0
Alcee,7,0
Alcide,39,0
Alcie,0,5
Alcuin,8,0
Alda,0,148
Aldea,0,10
Aldean,5,13
Aldeen,0,5
Alden,183,5
Aldena,0,9
Aldene,0,13
Alderic,5,0
Aldin,5,0
Aldina,0,10
Aldine,6,27
Aldo,154,5
Aldon,18,0
Aldona,0,34
Aldonia,0,13
Aldor,5,0
Aldora,0,15
Aldrich,6,0
Aldridge,11,0
Alean,0,33
Alease,0,54
Aleatha,0,16
Alec,50,0
Aleck,15,0
Aleda,0,18
Alee,0,5
Aleen,0,39
Aleene,0,27
Aleine,0,6
Alejandra,0,18
Alejandro,58,0
Alejo,5,0
Alen,7,0
Alena,0,20
Alene,0,232
Alessio,7,0
Aleta,0,35
Aletha,0,137
Alethea,0,26
Alethia,0,22
Aletta,0,8
Alex,978,5
Alexa,0,5
Alexander,1381,5
Alexandra,0,40
Alexandria,0,34
Alexia,0,9
Alexina,0,6
Alexine,0,5
Alexis,14,0
Alexsander,6,0
Alf,34,0
Alfard,5,0
Alferd,22,0
Alfie,0,5
Alfio,8,0
Alfons,18,0
Alfonsa,0,6
Alfonse,45,0
Alfonso,353,0
Alfonza,11,0
Alfonzo,32,0
Alford,85,5
Alfred,4929,25
Alfreda,5,228
Alfredia,0,13
Alfredo,205,0
Alfreeda,0,5
Alfreida,0,6
Alfretta,0,12
Alfrieda,0,21
Algene,0,6
Alger,23,0
Algernon,8,0
Algia,7,0
Algie,29,9
Ali,5,0
Alia,0,6
Alice,39,11537
Alicemae,0,8
Alicia,0,219
Alida,0,36
Alien,0,6
Aliene,0,18
Aline,0,376
Alise,0,7
Alison,11,23
Alister,5,0
Alita,0,6
Alka,0,9
Alla,0,24
Allan,692,5
Allard,8,0
Allean,0,48
Alleane,0,5
Allee,0,5
Alleen,0,24
Alleene,0,5
Allegra,0,13
Allen,2045,25
Allene,0,208
Alleta,0,6
Alletta,0,6
Alleyne,0,5
Allice,0,6
Allie,71,396
Allien,0,5
Alliene,0,8
Alline,0,50
Allis,0,5
Allison,71,18
Allyn,42,5
Allyne,0,11
Alma,30,3240
Almae,0,5
Alman,6,0
Almaree,0,5
Almarie,0,6
Almeda,0,107
Almedia,0,10
Almena,0,6
Almer,23,14
Almerinda,0,5
Almeta,0,69
Almeter,0,6
Almetta,0,11
Almina,0,10
Almira,0,29
Almo,6,0
Almon,35,0
Almond,20,0
Almus,7,0
Almyra,0,12
Alna,0,7
Aloha,0,17
Alois,80,16
Aloise,0,15
Alonso,6,0
Alonza,38,0
Alonzo,340,0
Aloys,18,0
Aloysius,164,0
Aloysuis,8,0
Alpha,31,147
Alpheus,16,0
Alphia,0,9
Alphonse,249,0
Alphonso,96,0
Alphonsus,20,0
Alphonzo,11,0
Alphus,8,0
Alsie,0,6
Alson,6,0
Alston,16,0
Alta,0,663
Altagracia,0,9
Altamae,0,6
Altee,0,5
Altha,0,93
Althea,5,275
Altheda,0,5
Altie,0,18
Alto,11,10
Alton,678,5
Alva,273,167
Alvah,38,6
Alvan,28,0
Alvar,5,0
Alvaro,37,0
Alveda,0,5
Alven,15,0
Alvena,0,41
Alvenia,0,12
Alver,6,0
Alvera,0,83
Alverda,0,29
Alverna,0,34
Alverta,0,83
Alvester,7,0
Alveta,0,6
Alvey,9,0
Alvia,18,13
Alvie,82,17
Alvilda,0,9
Alvin,2759,24
Alvina,0,214
Alvine,0,5
Alvino,9,0
Alvira,0,33
Alvis,101,12
Alvy,9,0
Alwilda,0,16
Alwin,25,0
Alwood,6,0
Alwyn,8,0
Alyce,0,410
Alyda,0,5
Alyene,0,12
Alyne,0,25
Alyre,5,0
Alys,0,25
Alyse,0,16
Alza,0,6
Alzada,0,6
Alzie,0,5
Alzira,0,5
Ama,0,12
Amada,0,29
Amadeo,22,0
Amado,34,0
Amador,24,0
Amalia,0,124
Amalie,0,5
Amanda,0,341
Amando,11,0
Amber,0,28
Ambers,7,0
Ambrose,166,0
Ambrosio,14,0
Amedee,5,0
Amedeo,9,0
Amedio,5,0
Amel,14,0
Amelda,0,9
Amelia,0,910
Amelie,0,11
Amelio,14,0
Amelita,0,10
America,0,36
Americo,98,0
Americus,6,0
Amerigo,19,0
Ames,7,0
Amey,0,12
Amie,5,53
Amiel,8,0
Amil,6,0
Amilda,0,6
Amma,0,9
Ammie,0,22
Ammon,16,0
Amon,14,0
Amos,506,0
Amous,13,0
Amparo,0,68
Amy,0,604
Amye,0,12
Ana,0,61
Anabel,0,43
Anabelle,0,7
Anacleto,9,0
Anah,0,6
Anahid,0,6
Anamae,0,11
Ananias,8,0
Anastacia,0,13
Anastacio,36,0
Anastasia,0,97
Anastasio,11,0
Anastasios,5,0
Anatole,11,0
Ance,8,0
Ancel,14,0
Ancil,33,0
Ancle,7,0
Ander,9,0
Anderson,138,0
Andre,53,0
Andrea,14,133
Andreas,11,0
Andree,0,15
Andres,104,0
Andrew,3744,24
Andrews,5,0
Andrez,6,0
Andy,266,6
Aneita,0,8
Aneta,0,10
Anetta,0,7
Angel,112,20
Angela,5,600
Angelena,0,18
Angelene,0,14
Angelia,0,5
Angelica,0,56
Angelina,6,1082
Angeline,0,822
Angelita,0,118
Angella,0,9
Angelle,0,6
Angelo,959,7
Angelyn,0,14
Angie,0,213
Anglina,0,5
Angline,0,6
Angus,61,0
Anice,0,22
Aniceto,11,0
Anie,0,6
Aniela,0,9
Aniello,15,0
Anise,0,12
Anita,0,1853
Anitra,0,6
Ann,14,5035
Anna,32,13076
Annabel,0,123
Annabell,0,118
Annabella,0,12
Annabelle,0,673
Annalea,0,5
Annalee,0,29
Annamae,0,117
Annamarie,0,51
Annamay,0,31
Annarose,0,10
Annastasia,0,6
Anne,9,3627
Annell,0,9
Annella,0,8
Annelle,0,19
Annemarie,0,11
Anner,0,17
Annett,0,10
Annetta,0,112
Annette,0,868
Annice,0,32
Annie,41,7347
Anniebell,0,5
Anniebelle,0,8
Anniemae,0,17
Annis,0,54
Annita,0,5
Annmarie,0,13
Annunziata,0,6
Anola,0,6
Anona,0,9
Ansel,40,0
Anselm,5,0
Anselma,0,14
Anselmo,26,0
Anson,29,0
Antha,0,15
Anthoney,6,0
Anthony,5191,20
Antimo,5,0
Antionette,0,38
Antoine,23,0
Antoinetta,0,12
Antoinette,0,1333
Anton,202,0
Antone,99,0
Antonetta,0,50
Antonette,0,106
Antonia,8,334
Antonietta,0,6
Antoniette,0,5
Antonina,0,37
Antonino,10,0
Antonio,689,14
Antony,20,0
Aphrodite,0,13
Apolinar,14,0
Apolonia,0,20
Apolonio,23,0
April,0,10
Aquilla,9,12
Ara,6,50
Arabella,0,17
Arabelle,0,13
Arah,0,9
Aram,19,0
Araminta,0,11
Arbell,0,6
Arbie,11,0
Arbutus,0,40
Arby,12,0
Arcadio,13,0
Arcelia,0,14
Arcenia,0,6
Arch,42,0
Archer,25,0
Archibald,61,0
Archie,1037,36
Arcie,6,0
Arcola,0,8
Arda,0,11
Ardath,0,47
Ardean,0,15
Ardelia,0,39
Ardell,53,62
Ardella,0,111
Ardelle,0,54
Arden,139,0
Ardena,0,10
Ardene,0,11
Ardes,0,6
Ardeth,0,25
Ardie,8,13
Ardine,0,5
Ardis,25,199
Ardith,0,125
Ardyce,0,39
Ardys,0,25
Ardyth,0,19
Ardythe,0,10
Areatha,0,6
Arel,6,0
Areta,0,5
Aretha,0,30
Aretta,0,32
Argentina,0,7
Argie,0,29
Argle,5,0
Argus,5,0
Arguster,6,0
Argyl,5,0
Arie,22,39
Ariel,8,11
Arietta,0,16
Arilla,0,9
Arillia,0,5
Arine,0,6
Arion,8,0
Aris,10,6
Aristeo,9,0
Aristides,6,0
Arita,0,5
Arizona,0,28
Arkie,0,5
Arkley,5,0
Arl,5,0
Arla,0,40
Arlan,28,0
Arland,32,0
Arlander,7,0
Arlayne,0,5
Arlean,0,38
Arleane,0,6
Arleda,0,5
Arlee,14,14
Arleen,0,178
Arleene,0,16
Arleigh,9,5
Arlen,33,5
Arlena,0,46
Arlene,0,2277
Arles,7,0
Arlester,5,0
Arleta,0,13
Arletha,0,23
Arlethia,0,11
Arletta,0,48
Arlette,0,15
Arley,40,8
Arlie,148,37
Arlien,0,5
Arliene,0,7
Arlillian,0,6
Arlin,53,7
Arline,0,677
Arling,6,0
Arlington,28,0
Arlis,36,10
Arliss,11,16
Arlita,0,5
Arlo,67,0
Arloa,0,6
Arlon,21,0
Arlone,0,9
Arlus,6,0
Arlyce,0,7
Arlyn,24,22
Arlyne,0,40
Arlys,0,20
Arma,0,12
Arman,8,0
Armand,320,0
Armanda,0,9
Armande,0,6
Armando,193,0
Armatha,0,6
Armeda,0,16
Armelia,0,10
Armella,0,32
Armen,10,0
Armena,0,5
Armenia,0,5
Armenta,0,8
Armentha,0,7
Armetta,0,7
Armida,0,37
Armie,0,6
Armilda,0,8
Armin,45,0
Armina,0,7
Arminda,0,14
Arminta,0,17
Armistead,7,0
Armon,16,0
Armond,71,0
Armondo,8,0
Armour,5,0
Armstead,10,0
Arna,0,6
Arne,37,0
Arneda,0,12
Arnell,0,18
Arnella,0,6
Arneta,0,7
Arnetha,0,6
Arnett,22,0
Arnetta,0,37
Arnette,0,13
Arnice,0,6
Arnie,24,8
Arnita,0,21
Arno,34,0
Arnol,5,0
Arnold,2014,17
Arnoldo,11,0
Arnulfo,32,0
Arol,5,0
Aron,79,0
Arona,0,5
Arra,0,6
Arretta,0,7
Arrie,9,21
Arron,12,0
Arsenia,0,6
Arsenio,11,0
Arshag,5,0
Arsie,0,9
Arsula,0,5
Art,50,0
Arta,0,8
Artelia,0,7
Artell,0,5
Artemio,8,0
Artemis,0,17
Artemisa,0,9
Artemus,9,0
Artha,0,6
Arthel,5,0
Arthella,0,7
Arther,104,5
Arthor,12,0
Arthur,10172,56
Artice,8,6
Artie,57,148
Artis,53,22
Arturo,148,0
Aruther,5,0
Arva,0,23
Arvada,0,5
Arval,9,0
Arvel,45,0
Arvell,5,0
Arvella,0,34
Arvena,0,6
Arvey,6,0
Arvid,60,0
Arvie,11,14
Arvil,79,0
Arvilla,0,96
Arville,28,0
Arvin,47,0
Arvine,9,0
Arvis,11,0
Arvle,9,0
Arvo,6,0
Arwilda,0,5
Arwin,6,0
Arwood,5,0
Ary,0,5
Arzella,0,14
Arzie,6,0
Asa,106,0
Asako,0,12
Asalee,0,5
Asao,6,0
Asberry,8,0
Asbury,13,0
Ascencion,12,0
Ascension,9,9
Asencion,17,10
Ashby,14,0
Asher,16,0
Ashley,46,0
Ashton,24,0
Asie,5,6
Asilee,0,6
Aslee,0,6
Aspasia,0,6
Assunta,0,43
Aster,8,8
Aston,5,0
Astrid,0,17
Asuncion,0,7
Asunta,0,5
Atanacio,12,0
Atha,5,42
Athalee,0,7
Athaleen,0,6
Athalene,0,6
Athalie,0,10
Athan,6,0
Athel,13,0
Athelene,0,7
Athelia,0,5
Athena,0,51
Athene,0,7
Athleen,0,7
Athol,8,0
Atilano,5,0
Atlas,15,5
Atlee,12,0
Atline,0,5
Atsushi,11,0
Attie,0,9
Attilio,39,0
Atwell,6,0
Atwood,12,0
Aubert,8,0
Aubery,11,0
Aubra,13,0
